,"ukr","en","NOTES – use \n for newline","max length"
"achievement_snowcastle","Reached Hiisi Base","Reached Hiisi Base","Biome name localized as: biome_snowcastle	Hiisi Base	База Хийси	Base Hiisi	Base Hiisi	Hiisi-Basis	Base hiisi	Base degli Hiisi	Baza hiisi	席西基地	ヒーシの基地	히시 기지	",
"achievementdesc_snowcastle","Reached Hiisi Base","Reached Hiisi Base","Biome name localized as: biome_snowcastle	Hiisi Base	База Хийси	Base Hiisi	Base Hiisi	Hiisi-Basis	Base hiisi	Base degli Hiisi	Baza hiisi	席西基地	ヒーシの基地	히시 기지	",
"achievement_rainforest","Reached Underground Jungle","Reached Underground Jungle","Biome name localized as: biome_rainforest	Underground Jungle	Подземные джунгли	Selva Subterrânea	Jungla subterránea	Unterirdischer Dschungel	Jungle souterraine	Giungla Sotterranea	Podziemna dżungla	地下丛林	地下ジャングル	지하 정글",
"achievementdesc_rainforest","Reached Underground Jungle","Reached Underground Jungle","Biome name localized as: biome_rainforest	Underground Jungle	Подземные джунгли	Selva Subterrânea	Jungla subterránea	Unterirdischer Dschungel	Jungle souterraine	Giungla Sotterranea	Podziemna dżungla	地下丛林	地下ジャングル	지하 정글",
"achievement_vault","Reached The Vault","Reached The Vault","Biome name localized as: biome_vault	The Vault	Убежище	O Cofre	La Cámara	Das Gewölbe	Le coffre-fort	Il Caveau	Skarbiec	避难所	金庫室	금고		",
"achievementdesc_vault","Reached The Vault","Reached The Vault","Biome name localized as: biome_vault	The Vault	Убежище	O Cofre	La Cámara	Das Gewölbe	Le coffre-fort	Il Caveau	Skarbiec	避难所	金庫室	금고		",
"achievement_crypt","Reached Temple of the Art","Reached Temple of the Art","Biome name localized as: biome_crypt	Temple of the Art	Храм Искусства	Templo da Arte	Templo del Arte	Tempel der Kunst	Temple de l'art	Tempio dell'Arte	Świątynia Sztuki	艺之神殿	芸術の神殿	기술의 사원",
"achievementdesc_crypt","Reached Temple of the Art","Reached Temple of the Art","Biome name localized as: biome_crypt	Temple of the Art	Храм Искусства	Templo da Arte	Templo del Arte	Tempel der Kunst	Temple de l'art	Tempio dell'Arte	Świątynia Sztuki	艺之神殿	芸術の神殿	기술의 사원",
"achievement_victory","Victory","Victory","“Completed the game”",
"achievementdesc_victory","Victory","Victory","“Completed the game”",
"achievement_orbs","Gathered All The Knowledge","Gathered All The Knowledge",,
"achievementdesc_orbs","Gathered All The Knowledge","Gathered All The Knowledge",,
"achievement_progress_enemies","100% Enemy Progress","100% Enemy Progress",,
"achievementdesc_progress_enemies","100% Enemy Progress","100% Enemy Progress",,
"achievement_progress_spells","100% Spell Progress","100% Spell Progress",,
"achievementdesc_progress_spells","100% Spell Progress","100% Spell Progress",,
"achievement_progress_perks","100% Perk Progress","100% Perk Progress",,
"achievementdesc_progress_perks","100% Perk Progress","100% Perk Progress",,
"achievement_impressed","The Gods Are Impressed","The Gods Are Impressed",,
"achievementdesc_impressed","The Gods Are Impressed","The Gods Are Impressed",,
"achievement_afraid","The Gods Are Afraid","The Gods Are Afraid",,
"achievementdesc_afraid","The Gods Are Afraid","The Gods Are Afraid",,
"achievement_enraged","The Gods Are Enraged","The Gods Are Enraged",,
"achievementdesc_enraged","The Gods Are Enraged","The Gods Are Enraged",,
"action_nuke_giga","Giga Nuke","Giga Nuke",,
"actiondesc_nuke_giga","What do you expect?","What do you expect?",,
"action_bomb_holy_giga","Giga Holy Bomb","Giga Holy Bomb",,
"actiondesc_bomb_holy_giga","Bigger and therefore holier","Bigger and therefore holier",,
"perkdesc_exploding_corpses","Enemies explode upon death, but you gain immunity to explosive damage.","Enemies explode upon death, but you gain immunity to explosive damage.",,
"animal_friend","Toveri","Toveri","Transliterate",
"animal_wizard_homing","Kohdennusmestari","Kohdennusmestari","Transliterate",
"animal_icemage","Pakkasukko","Pakkasukko","Transliterate",
"building_altar_null","Nullifying Altar","Nullifying Altar",,
"building_altar_always","Permanence Altar","Permanence Altar",,
"biomemodifierdesc_cool","The air feels extremely cool...","The air feels extremely cool...",,
"animal_cook","Kokkihiisi","Kokkihiisi","Transliterate",
"log_balance_1","The world is at a balance","The world is at a balance",,
"log_balance_2","The world is corrupted","The world is corrupted",,
"log_balance_3","The world is overburdened by light","The world is overburdened by light",,
"log_balance_4","The world is in chaos!","The world is in chaos!",,
"perk_gas_blood","Gas Blood","Gas Blood",,
"perkdesc_gas_blood","You bleed flammable gas instead of blood.","You bleed flammable gas instead of blood.",,
"mat_healsand","Lively powder","Lively powder",,
"mat_steel_strong","Hardened steel","Hardened steel",,
"damage_supernova","Supernova","Supernova",,
"biomemodifierdesc_sunlight","Everything is glowing in a mysterious light...!","Everything is glowing in a mysterious light...!",,
"biomemodifierdesc_sundark","There's an ominous atmosphere here...!","There's an ominous atmosphere here...!",,
"biomemodifierdesc_fog_of_war_clear_at_player","It feels gloomy in here","It feels gloomy in here",,
"ui_million_shorthand","$0M","$0M","As in 1,000,000 = 1M (M = Mega,Million)",
"ui_thousand_shorthand","$0K","$0K","As in 1,000 = 1K (K = Kilo, Thousand)",
"menu_mods_modversion_newer","This mod has been built with a newer version of the modding interface.\nA newer version of the game might be required.\nOr maybe the mod developer is just using a new version of the game,\nand everything is compatible.","This mod has been built with a newer version of the modding interface.\nA newer version of the game might be required.\nOr maybe the mod developer is just using a new version of the game,\nand everything is compatible.","New sentence added.",
"action_laser_emitter","Plasma beam","Plasma beam","Note – laser->plasma",
"action_laser_emitter_thrower","Plasma show","Plasma show","Note – laser->plasma",
"action_laser_cross","Plasma beam X","Plasma beam X","Note – laser->plasma",
"actiondesc_laser_cross","Plasma beams fly in an X-shaped pattern","Plasma beams fly in an X-shaped pattern","Note – laser->plasma",
"action_bounce_laser","Concentrated light bounce","Concentrated light bounce","Description: “Makes a projectile release a bundle of concentrated light as it bounces”",
"perk_personal_laser","Personal Plasma Beam","Personal Plasma Beam","Note – laser->plasma",
"perkdesc_personal_laser","You constantly fire a devastating plasma beam, but you fire spells much slower","You constantly fire a devastating plasma beam, but you fire spells much slower","Note – laser->plasma",
"NEWTEXTSINCE20210316",,,,
"itemdesc_book_music_b","“One in the pond\nOne in the tree\nOne on the ledge\nOne under the sun”","“One in the pond\nOne in the tree\nOne on the ledge\nOne under the sun”",,
"menureleasenotes_noita10","Welcome to Noita Epilogue Update!\nNoita used be an Early Access game, so we want to send a huge thank you to all of you\nwho played Noita during its first year. Your feedback has been invaluable!\nAnd to all the new Noita players... Welcome and best of luck!\n- Devs\n","Welcome to Noita Epilogue Update!\nNoita used be an Early Access game, so we want to send a huge thank you to all of you\nwho played Noita during its first year. Your feedback has been invaluable!\nAnd to all the new Noita players... Welcome and best of luck!\n- Devs\n",,
"menu_newgame_gamemodewithslotstooltip","Start a new game or continue an existing save.","Start a new game or continue an existing save.",,
"menu_newgame_saveandnewgame","Save current world and start a new game","Save current world and start a new game",,
"menu_main_continue_info","Continue: $0","Continue: $0",,
"menu_saveslotselect_deleteslotfirst","Delete the world in this slot\nto be able to start a new game.","Delete the world in this slot\nto be able to start a new game.",,
"menu_saveslotselect_continue","Continue this world.","Continue this world.",,
"menu_saveslotselect_continuecurrent","Continue current world.","Continue current world.",,
"menu_saveslotselect_modnotfound_withname"," [Mod not found - $0]"," [Mod not found - $0]",,
"menu_saveslotselect_modnotfound"," [Mod not found]"," [Mod not found]",,
"menuoptions_steamcloud_warning_enabled","Steam Cloud save size warning: $0","Steam Cloud save size warning: $0",,
"menuoptions_steamcloud_warning_limit","Steam Cloud save size limit warning","Steam Cloud save size limit warning",,
"menuoptions_steamcloud_warning_tooltip","The game will warn you if the size of save data exceeds the given amount.","The game will warn you if the size of save data exceeds the given amount.","Max length: Around the length of english text",
"menu_steamcloud_size_warning","Warning: Save size is over $0 MB.","Warning: Save size is over $0 MB.","Max length: Around the length of english text",
"menu_steamcloud_size_warning_desc","Steam Cloud synchronization might take a long time.\nClick here to turn off Cloud sync.","Steam Cloud synchronization might take a long time.\nClick here to turn off Cloud sync.","Max length: Around the length of english text",
"menu_steamcloud_filecount_warning","Warning: Save data exceeds 10000 files","Warning: Save data exceeds 10000 files","Max length: Around the length of english text",
"menu_steamcloud_filecount_warning_desc","Steam Cloud doesn't support that many files.\nThings probably aren't gonna work.\nClick here to turn off Cloud sync.","Steam Cloud doesn't support that many files.\nThings probably aren't gonna work.\nClick here to turn off Cloud sync.","Max length: Around the length of english text",
"menu_steamcloud_warning_turnoff_hint","(You can switch this warning off via Options.)","(You can switch this warning off via Options.)","Max length: Around the length of english text",
"biomemodifierdesc_invisibility","You suddenly have trouble focusing your eyes...","You suddenly have trouble focusing your eyes...",,
"biomemodifierdesc_wormy","You hear creepy crawling everywhere!","You hear creepy crawling everywhere!",,
"item_tntbox","Explosive box","Explosive box",,
"item_tntbox_big","Large explosive box","Large explosive box",,
"item_book_essences","Tome of Essences","Tome of Essences",,
"itemdesc_book_essences","”The four Essences represent the four Elements that form this visible World...\nImbued with their Terrible Power, one may do great deeds,\nbut one should be Afraid of their destructive Might. To this end,\nwe have Devised a way to remove these Dangerous Forces; seek it in the West and East.\n\nA Legend also tells that all the Elements originated from the Egg of Sky and return to It one day...”","”The four Essences represent the four Elements that form this visible World...\nImbued with their Terrible Power, one may do great deeds,\nbut one should be Afraid of their destructive Might. To this end,\nwe have Devised a way to remove these Dangerous Forces; seek it in the West and East.\n\nA Legend also tells that all the Elements originated from the Egg of Sky and return to It one day...”",,
"action_black_hole_giga","Omega Black Hole","Omega Black Hole",,
"actiondesc_black_hole_giga","Even light dies eventually...","Even light dies eventually...",,
"animal_firemage_big","Suurstendari","Suurstendari","Transliterate",
"itemdesc_book_hint","”One of my brethren ran away in order to escape our predicament ...\nThey felt our understanding of this world was to be forbidden.\nThey hid something here, in this room, but...\n...I lack the ability to truly see what is here!”","”One of my brethren ran away in order to escape our predicament ...\nThey felt our understanding of this world was to be forbidden.\nThey hid something here, in this room, but...\n...I lack the ability to truly see what is here!”",,
