"","ukr","en","NOTES – use \n for newline","max length"
"itemdesc_book_diamond","”In my dream I saw a great Diamond...\nIt invited me within, offering me Grand Treasures.\nThis it said to me:\n'If you wish to follow the Path I show you here, you must bring me one of these Two:\na terrible Curse of Avarice, or the most Singular being in this realm.'\nI do not fully understand these words, but I still see the Diamond in my mind's eye...”","”In my dream I saw a great Diamond...\nIt invited me within, offering me Grand Treasures.\nThis it said to me:\n'If you wish to follow the Path I show you here, you must bring me one of these Two:\na terrible Curse of Avarice, or the most Singular being in this realm.'\nI do not fully understand these words, but I still see the Diamond in my mind's eye...”","",""
"mat_meat_warm","Zleğka pryğotovane m'jaso","Lightly-cooked meat","",""
"mat_meat_hot","Pryğotovane m'jaso","Cooked meat","",""
"mat_meat_done","Povnistju pryğotovane m'jaso","Fully-cooked meat","",""
"mat_meat_burned","Pidğorile m'jaso","Burned meat","",""
"perkdesc_lower_spread","Vaši zaklynannja majutj menšyj rozkyd ta biljše škody, ale majutj zbiljšenu zatrymku čakluvannja.","Your spells have lower spread and extra damage, but have increased cast delay.","",""
"mat_peasoup_concentrate","Koncentrat ğoroxovoğo supu","Pea soup concentrate","",""
"mat_mammi","Mämmi","Mämmi","transliterate",""
"mat_juhannussima","Juhannussima","Juhannussima","transliterate",""
"item_hernekeittopurkki","Hernekeittopurkki","Hernekeittopurkki","transliterate",""
"item_kaljapullo","Kaljapullo","Kaljapullo","transliterate",""
"perk_iron_stomach","Zaliznyj šlunok","Iron Stomach","",""
"perkdesc_iron_stomach","Vy biljše ne straždajete vid neğatyvnyx efektiv spožyvannja ïži.","You no longer suffer from negative effects of eating.","",""
"NEWTEXTSINCE20210423","","","",""
"animal_wand_ghost_charmed","Taikasauva","Taikasauva","(copy from animal_wand_ghost)",""
"gold_wand_statue","Zolota statuetka","Golden statue","(copied from reward_gold_statue)",""
"inventory_dmg_melee","Blyžnja škoda","Dmg. Melee","(copied from inventory_mod_damage_melee)",""
"mat_material_confusion","Zbentežyn","flummoxium","(copied from mat_confusion - cause this might be missing)",""
"animal_thunderburst_thundermage","Ukko","Ukko","doesn't need to be translated (copied form animal_thundermage to fix empty death message)",""
"animal_thunderburst","Ukko","Ukko","doesn't need to be translated (copied form animal_thundermage empty death message)",""
"action_bounce_small_explosion","Iskrovyj vidskok","Sparkly bounce","",""
"actiondesc_bounce_small_explosion","Zmušuje snarjad vypuskaty nebezpečni iskry, koly vin vidskakuje","Makes a projectile release damaging sparks as it bounces","",""
"action_bounce_lightning","Blyskavyčnyj vidskok","Lightning bounce","",""
"actiondesc_bounce_lightning","Zmušuje snarjad vypuskaty potužnu blyskavku, koly vin vidskakuje","Makes a projectile release powerful lightning as it bounces","",""
"action_bounce_hole","Vakuumnyj vidskok","Vacuum bounce","",""
"actiondesc_bounce_hole","Zmušuje snarjad prybyraty zemlju, koly vin vidskakuje","Makes a projectile remove earth as it bounces","",""
"action_zero_damage","Nuljovyj postril","Null shot","",""
"actiondesc_zero_damage","Značno zbiljšuje tryvalistj snarjada, ale prybyraje vsju škodu ta vybuxy vid njoğo","Increases a projectile's duration dramatically but removes all damage & explosion from it","",""
"action_caster_cast","Vnutrišnje zaklynannja","Inner spell","",""
"actiondesc_caster_cast","Zmušuje snarjad čakluvatysja z miscja, de stoïtj zaklynač","Causes a projectile to be cast from where the caster is standing","",""
"animal_shotgunner_hell","Hornahiisi","Hornahiisi","transliterate, see animal_shotgunner_ref for reference",""
"animal_sniper_hell","Hornasnipuhiisi","Hornasnipuhiisi","transliterate, see animal_shotgunner_ref for reference",""
"action_white_hole_big","Ğiğa bila dira","Giga white hole","",""
"actiondesc_white_hole_big","Zrostajuča sfera pozytyvnoï enerğiï, ŝo znyŝuje vse u svoïj dosjažnosti","A growing orb of positive energy that destroys everything in its reach","",""
"action_true_orbit","Spravžnja orbita","True Orbit","",""
"actiondesc_true_orbit","Zmušuje snarjad krutytysja navkolo zaklynača, jak na orbiti planety","Makes a projectile rotate around the caster like an orbiting planet","",""
"action_hook","Tjağobolt","Hookbolt","",""
"actiondesc_hook","Sjajnyj ğak, ŝo prytjağuje zaklynača do sebe pislja zitknennja","A glowing hook that pulls the caster towards itself upon collision","",""
"action_anti_homing","Antysamonavedennja","Anti Homing","",""
"actiondesc_anti_homing","Zmušuje snarjad pryskorjuvatysja u protyležnu storonu vid voroğiv","Makes a projectile accelerate away from your foes","",""
"action_fish","Vyklyk ryby","Summon fish","",""
"actiondesc_fish","RYBA!","FISH!","",""
"action_sea_swamp","Stvorennja bolota","Summon Swamp","",""
"actiondesc_sea_swamp","Stvorjuje velyke boloto pid zaklynačem","Summons a large swamp below the caster","",""
"item_leukaluu","Hauen leukaluu","Hauen leukaluu","Transliterate",""
"action_homing_wand","Palyčkove tjažinnja","Wand Homing","",""
"actiondesc_homing_wand","Zmušuje snarjady pryskorjuvatysja u bik palyčok","Makes a projectile accelerate towards wands","",""
"item_leukaluu_kantele","Kantele hauen leukaluusta","Kantele hauen leukaluusta","Transliterate",""
"damage_holy","svjata","holy","",""
"magic_liquid_weakness","zbavok","diminution","",""
"status_weakness","Slabkistj","Weakness","",""
"statusdesc_weakness","Vy vidčuvajete slabkistj.","You feel weakened.","",""
"mat_static_magic_material","avstralium","australium","",""
"mat_magic_gas_midas","ğaz Midasa","gas of midas","",""
"mat_magic_gas_worm_blood","xrobakovyj ğaz","worm gas","",""
"animal_miner_hell","Hornantappurahiisi","Hornantappurahiisi","transliterate, see animal_shotgunner_ref for reference",""
"animal_meatmaggot","Mätäryömijä","Mätäryömijä","transliterate",""
"mat_pus","Ğnij","pus","",""
"action_quad_shot","Čotyrykutne čakluvannja","Quplicate Spell","",""
"actiondesc_quad_shot","Čakluje kopiï snarjada u 4 naprjamky, u formi pljusa. Kožna kopija potrebuje stiljky ž many, skiljky j oryğinaljne zaklynannja snarjada","Casts copies of a projectile in a tetragonal pattern, but the copies still cost mana","",""
"action_i_shot","I-podibne čakluvannja","Iplicate Spell","",""
"actiondesc_i_shot","Čakluje kopiju snarjada pozadu vas. Kopija potrebuje stiljky ž many, skiljky j oryğinaljne zaklynannja snarjada","Casts a copy of a projectile behind you, but the copy still cost mana","",""
"action_t_shot","T-podibne čakluvannja","Tiplicate Spell","",""
"actiondesc_t_shot","Čakluje kopiï snarjada pid ta nad vamy. Kožna kopija potrebuje stiljky ž many, skiljky j oryğinaljne zaklynannja snarjada","Casts copies of a projectile above and below you, but the copies still cost mana","",""
"action_w_shot","W-podibne čakluvannja","Wuplicate Spell","",""
"actiondesc_w_shot","Čakluje kopiï snarjada u 3 naprjamky, u formi W. Kožna kopija potrebuje stiljky ž many, skiljky j oryğinaljne zaklynannja snarjada","Casts copies of a projectile in a trifurcated pattern, but the copies still cost mana","",""
"action_y_shot","V-podibne čakluvannja","Yplicate Spell","",""
"actiondesc_y_shot","Čakluje kopiï snarjada u 2 naprjamky, u formi V. Kožna kopija potrebuje stiljky ž many, skiljky j oryğinaljne zaklynannja snarjada","Casts a copy of a projectile in a bifurcated pattern, but the copy still cost mana","",""
"action_penta_shot","P'jatykutne čakluvannja","Peplicate Spell","",""
"actiondesc_penta_shot","Čakluje kopiï snarjada u 5 naprjamkiv, u formi p'jatykutnyka. Kožna kopija potrebuje stiljky ž many, skiljky j oryğinaljne zaklynannja snarjada","Casts 5 copies of a projectile in a pentagonal pattern, but the copies still cost mana","",""
"action_hexa_shot","Šestykutne čakluvannja","Heplicate Spell","",""
"actiondesc_hexa_shot","Čakluje kopiï snarjada u 6 naprjamkiv, u formi šestykutnyka. Kožna kopija potrebuje stiljky ž many, skiljky j oryğinaljne zaklynannja snarjada","Casts 6 copies of a projectile in a hexagonal pattern, but the copies still cost mana","",""
"biome_meat","M'jasnyj vymir","Meat realm","",""
"action_antiheal","Smerteljne zcilennja","Deadly heal","",""
"actiondesc_antiheal","Snarjad, ŝo spočatku zavdaje škody, a potim postupovo zciljuje","A projectile that at first deals damage, then heals over time","",""
"animal_windshaman","Tuulikainen","Tuulikainen","transliterate",""
"action_clustermod","Klasterbolt","Clusterbolt","",""
"actiondesc_clustermod","Zmušuje snarjad vypustyty klaster vybuxovyx boltiv, pislja zitknennja zi stinoju","Makes a projectile release a cluster of explosive bolts upon hitting a wall","",""
"action_turretmod","Vartovyj dux","Sentinel Spirit","",""
"actiondesc_turretmod","Vypuskaje duxa, ŝo striljaje kopijamy snarjadiv u cili","Releases a spirit that fires copies of a projectile towards targets","",""
"animal_boss_meat","Kolmisilmän sydän","Kolmisilmän sydän","transliterate",""
"item_utility_box","Korobka korysnostej","Utility box","",""
"animal_tentaclemass","Sätkijä","Sätkijä","transliterate",""
"perk_bigger","Staty velyčeznym","Become huger","",""
"perkdesc_bigger","Zbiljšuje vaš opir do snarjadiv ta vybuxiv, ale u vas leğše vlučyty.","Your projectile and explosive resistances increase, but you're easier to hit.","",""
"perk_smaller","Staty malenjkym","Become tinier","",""
"perkdesc_smaller","U vas važče vlučyty, ale vy otrymujete biljše škody vid snarjadiv ta vybuxiv.","You're harder to hit, but take more projectile and explosive damage.","",""
"animal_islandspirit","Tapion vasalli","Tapion vasalli","transliterate",""
"perk_lich","Forma Liča","Lich form","",""
"perkdesc_lich","Vy nabuvajete novoï žaxlyvoï formy!","You take on a hideous new form!","",""
"action_holy","Svjatyj spys","Holy Lance","",""
"actiondesc_holy","Švydkyj ta pronyzlyvyj spys, ŝo sjaje potužnistju","A fast-flying, penetrating lance that glows with power","",""
"inventory_dmg_holy","Svjata škoda","Dmg. Holy","",""
"animal_shaman_wind","Valhe","Valhe","transliterate",""
"mat_magic_gas_polymorph","xmara polimorfinu","polymorphine cloud","",""
"mat_magic_gas_weakness","xmara zbavka","diminution cloud","",""
"mat_magic_gas_teleport","xmara teleportaniumu","teleportatium cloud","",""
"mat_magic_gas_fungus","funky cloud","funky cloud","",""
"mat_magic_liquid_death","momento smertium","instant deathium","",""
"animal_berserkspirit","Viha-Aave","Viha-Aave","transliterate",""
"animal_confusespirit","Utu-Aave","Utu-Aave","transliterate",""
"animal_weakspirit","Kaamo-Aave","Kaamo-Aave","transliterate",""
"animal_slimespirit","Neva-Aave","Neva-Aave","transliterate",""
"mat_magic_gas_confuse","xmara zbentežynu","flummoxium cloud","",""
"mat_magic_gas_berserk","xmara berserkiumu","berserkium cloud","",""
"mat_magic_gas_charm","xmara feromoniv","pheromone cloud","",""
"DO_NOT_USE_actiondesc_curse_wither_projectile","Cilj uražena snarjadom dejakyj čas otrymuje na 25% biljše škody vid snarjadiv. Ne pracjuje na cili nevrazlyvi do škody vid snarjadiv","Target hit by a projectile takes 25% extra projectile damage for a time. Doesn't work on targets immune to projectile damage","",""
"DO_NOT_USE_actiondesc_curse_wither_explosion","Cilj uražena snarjadom dejakyj čas otrymuje na 25% biljše škody vid vybuxiv. Ne pracjuje na cili nevrazlyvi do škody vid vybuxiv","Target hit by a projectile takes 25% extra explosion damage for a time. Doesn't work on targets immune to explosive damage","",""
"DO_NOT_USE_actiondesc_curse_wither_melee","Cilj uražena snarjadom dejakyj čas otrymuje na 25% biljše blyžnjoï škody. Ne pracjuje na cili nevrazlyvi do blyžnjoï škody","Target hit by a projectile takes 25% extra melee damage for a time. Doesn't work on targets immune to melee damage","",""
"DO_NOT_USE_actiondesc_curse_wither_electricity","Cilj uražena snarjadom dejakyj čas otrymuje na 25% biljše škody vid elektryky. Ne pracjuje na cili nevrazlyvi do elektryčnoï škody","Target hit by a projectile takes 25% extra electricity damage for a time. Doesn't work on targets immune to electric damage","",""
"animal_longleg_huge","Suurhämis","Suurhämis","transliterate",""
"perkdesc_vampirism","Vy vtračajete 25% maksymaljnoğo zdorov'ja, ale možete popovnyty zdorov'ja vžyvajučy krov.\nKrov ne vplyvaje na rivenj nasyčenosti, tomu vy biljše ne straždajete vid xarčovoğo otrujennja.","You lose 25% maximum health, but can replenish health by drinking blood.\nBlood doesn't affect satiation level and you no longer suffer from food poisoning.","",""
"mat_mammi","mämmi","mämmi","Transliterate",""
"status_mammi_eater","Oğydnyj poïdač Mämmi","The Loathsome Mämmi Eater","transliterate mämmi",""
"statusdesc_mammi_eater","Vy otrymaly postijne im'ja.","You have gained a persistent nickname.","",""
"action_touch_piss","Zolotyj dotyk?","Touch of Gold?","",""
"actiondesc_touch_piss","Peretvorjuje vse u nevelykomu radiusi u seču, vključajučy stiny, istot... ta vas","Transmutes everything in a short radius into urine, including walls, creatures... and you","",""
"action_mass_polymorph","Muodonmuutos","Muodonmuutos","Transliterate",""
"actiondesc_mass_polymorph","Be-e-e","Baa","",""
"actiondesc_destruction","Myttjevo znyŝuje voroğiv navkolo vas koštom vašyx OZ","Instantly decimates foes around you, at the cost of your HP","",""
"action_touch_grass","Travnyj dotyk","Touch of Grass","",""
"actiondesc_touch_grass","Peretvorjuje vse u nevelykomu radiusi u zemlju, vključajučy stiny, istot... ta vas. Xiba ŝo...","Transmutes everything in a short radius into Earth, including walls, creatures... and you. Unless…","",""
"action_cessation","Kinecj buttja","Cessation","",""
"actiondesc_cessation","Zaklynač vxodytj u vymir bezvymirnosti","The caster enters the realm of no realm","",""
"item_chainsaw","Saha","Saha","Transliterate",""
"action_white_hole","Bila dira","White hole","",""
"actiondesc_white_hole","Sfera pozytyvnoï enerğiï, ŝo znyŝuje vse na svojemu šljaxu","An orb of positive energy that destroys everything in its path","",""
"action_white_hole_giga","Omeğa bila dira","Omega white hole","",""
"actiondesc_white_hole_giga","Masyvna sfera pozytyvnoï enerğiï, ŝo znyŝuje vse u svoïj dosjažnosti","A massive orb of positive energy that destroys everything in its reach","",""
"ui_longleg_love","Natys $0, ŝob pestyty","Press $0 to pet","",""
"ui_longleg_love_msg1","Hämis ŝaslyvyj!","The Hämis is happy!","transliterate, see animal_longleg_ref for previous transliteration",""
"ui_longleg_love_msg2","Hämis NADZVYČAJNO ŝaslyvyj!","The Hämis is EXTREMELY happy!","transliterate, see animal_longleg_ref for previous transliteration",""
"log_boss_meat_death","Prokljattja znjato!","A curse has been lifted!","",""
"logdesc_boss_meat_death","Zdajetjsja, nače stalo leğše dyxaty","The air feels easier to breathe","",""
