"","ukr","en","","","NOTES – use \n for newline","max length"
"log_always_cast_failed","Too many always cast spells!","Too many always cast spells!","","","",""
"logdesc_always_cast_failed","Це паличка вже перевантажена...","This wand is already overloaded...","","","",""
"bookdesc07_forged","To gain true knowledge,\n one must slow down and not hurry.","To gain true knowledge,\n one must slow down and not hurry.","","","",""
"streamingeventdesc_protect_player","You become invincible for some time","You become invincible for some time","","","",""
"perkdesc_projectile_homing_shooter","Your spells arc towards you, but gain extra speed and deal extra damage.","Your spells arc towards you, but gain extra speed and deal extra damage.","","","",""
"log_perk_fulltitle","$0 - $1","$0 - $1","","","",""
"action_mana_reduce","Більше мани","Add mana","","","",""
"actiondesc_mana_reduce","Додає 30 мани до вашої палички","Adds 30 mana to the wand","","","",""
"perk_protection_radioactivity","Імунітет до токсинів","Toxic Immunity","","","",""
"perkdesc_protection_radioactivity","You take no damage from toxic sludge and other toxic things.","You take no damage from toxic sludge and other toxic things.","","","",""
"mat_monster_powder_test","Monstrous powder","Monstrous powder","","","",""
"perkdesc_vampirism","Ви втрачаєте 25% максимального здоров'я, проте може поповнити здоров'я питною кров'ю. Кров не впливає на рівень насичення.","You lose 25% maximum health, but can replenish health by drinking blood. Blood doesn't affect satiation level.","","","",""
"action_homing_accelerating","Accelerative Homing","Accelerative Homing","","","",""
"actiondesc_homing_accelerating","A projectile homes towards enemies at an increasing pace","A projectile homes towards enemies at an increasing pace","","","",""
"action_teleport_closer","Наближувач","Homebringer Teleport Bolt","","","",""
"actiondesc_teleport_closer","Телепортує уражену ціль ближче до вас","Brings the target hit closer to you","","","",""
"action_fanning_shot","Fanning Shot","Fanning Shot","","","",""
"actiondesc_fanning_shot","Launches multiple projectiles in a fan-like pattern","Launches multiple projectiles in a fan-like pattern","","","",""
"action_projectile_fan","Spell Fan","Spell Fan","","","",""
"actiondesc_projectile_fan","Pushes projectiles away from you","Pushes projectiles away from you","","","",""
"action_spells_to_power","Spells to Power","Spells to Power","","","",""
"actiondesc_spells_to_power","Converts any nearby projectiles cast by you into extra damage","Converts any nearby projectiles cast by you into extra damage","","","",""
"action_enemies_to_power","Essence to Power","Essence to Power","","","",""
"actiondesc_enemies_to_power","Increases a projectile's damage based on the number of creatures nearby","Increases a projectile's damage based on the number of creatures nearby","","","",""
"action_explosion_light","Magical Explosion","Magical Explosion","","","",""
"actiondesc_explosion_light","A large explosion that doesn't damage the ground","A large explosion that doesn't damage the ground","","","",""
"action_phi","Phi","Phi","","","Greek letter; do not translate",""
"actiondesc_phi","Чаклує копію кожного заклинання типу ""снаряд"" на поточній паличці","Casts a copy of every projectile-type spell in the current wand","","","",""
"action_burst_x","Myriad Spell","Myriad Spell","","","",""
"actiondesc_burst_x","Simultaneously casts as many spells as you have left uncast in your wand","Simultaneously casts as many spells as you have left uncast in your wand","","","",""
"action_worm_launcher","Викликати хробака","Summon Worm","","","",""
"actiondesc_worm_launcher","Бере хробака з іншого виміру, щоб жбурнути його з високою швидкістю на короткий час","Grabs a worm from a nether realm at high velocity for a short time","","","",""
"action_spiraling_shot","Spiral Arc","Spiral Arc","","","",""
"actiondesc_spiraling_shot","A projectile flies in a spiralling pattern","A projectile flies in a spiralling pattern","","","",""
"action_orbit_shot","Orbiting Arc","Orbiting Arc","","","",""
"actiondesc_orbit_shot","A projectile orbits the point of its origin","A projectile orbits the point of its origin","","","",""
"action_form_potion","Create potion","Create potion","","","",""
"actiondesc_form_potion","A small vortex sucks material and forms a small potion filled with it","A small vortex sucks material and forms a small potion filled with it","","","",""
"action_omega_disc_bullet","Summon Omega Sawblade","Summon Omega Sawblade","","","",""
"actiondesc_omega_disc_bullet","That's a lot of sawblade","That's a lot of sawblade","","","",""
"action_temporary_wall","Summon Wall","Summon Wall","","","",""
"actiondesc_temporary_wall","Summons a shortlived obstacle","Summons a shortlived obstacle","","","",""
"action_temporary_platform","Summon Platform","Summon Platform","","","",""
"actiondesc_temporary_platform","Summons a shortlived bit of ground","Summons a shortlived bit of ground","","","",""
"action_summon_missile","Summon Missile","Summon Missile","","","",""
"actiondesc_summon_missile","Summons a homing, explosive rocket","Summons a homing, explosive rocket","","","",""
"animal_maggot_tiny","Limatoukka","Limatoukka","","","Transliterate",""
"animal_boss_wizard","Mestarien mestari","Mestarien mestari","","","Transliterate",""
"animal_coward","Raukka","Raukka","","","Transliterate",""
"animal_thundermage_big","Suur-Ukko","Suur-Ukko","","","Transliterate",""
"animal_thunderhound","Ukkoskoira","Ukkoskoira","","","Transliterate",""
"animal_boss_robot","Kolmisilmän silmä","Kolmisilmän silmä","","","Transliterate",""
"animal_skygazer","Taivaankatse","Taivaankatse","","","Transliterate",""
"animal_gazer_big","Kolmisilmän kätyri","Kolmisilmän kätyri","","","Transliterate",""
"animal_dark_alchemist","Pahan muisto","Pahan muisto","","","Transliterate",""
"action_laser_emitter","Плазмовий промінь","Plasma beam","","","",""
"actiondesc_laser_emitter","An instantaneous, dangerous beam of light","An instantaneous, dangerous beam of light","","","",""
"action_laser_emitter_thrower","Plasma show","Plasma show","","","",""
"actiondesc_laser_emitter_thrower","A projectile fires beams of light in random directions","A projectile fires beams of light in random directions","","","",""
"action_laser_cross","Плазмовий промінь X","Plasma beam X","","","",""
"actiondesc_laser_cross","Plasma beams fly in an X-shaped pattern","Plasma beams fly in an X-shaped pattern","","","",""
"perk_personal_laser","Personal Plasma Beam","Personal Plasma Beam","","","",""
"perkdesc_personal_laser","You constantly fire a devastating plasma beam, but you fire spells much slower","You constantly fire a devastating plasma beam, but you fire spells much slower","","","",""
"mat_wizardstone","Odd brickwork","Odd brickwork","","","",""
"mat_drape","Drapes","Drapes","","","",""
"mat_darkstone","Dark rock","Dark rock","","","",""
"perk_moon_radar","Місячний радар","Moon Radar","","","",""
"perkdesc_moon_radar","Вказує вам на Місяць...?","Points you towards the moon...?","","","",""
"logdesc_greed_curse_away2","The curse has gone away.","The curse has gone away.","","","",""
"log_greed_curse_crystal2","The crystal breaks!","The crystal breaks!","","","",""
"logdesc_greed_curse_crystal2","The curse is active once again!","The curse is active once again!","","","",""
"menu_mods_settings_short","Модифікації","Mod settings","","","",""
"NEWTEXTSINCE20201125","","","","","",""
"animal_gate_monster_a","Veska","Veska","","","Transliterate",""
"animal_gate_monster_b","Molari","Molari","","","Transliterate",""
"animal_gate_monster_c","Mokke","Mokke","","","Transliterate",""
"animal_gate_monster_d","Seula","Seula","","","Transliterate",""
"perkdesc_revenge_bullet","You return fire when hit by projectiles, and you gain 20% resistance against explosions and projectiles.","You return fire when hit by projectiles, and you gain 20% resistance against explosions and projectiles.","","","",""
"action_if_enemy","Requirement - Enemies","Requirement - Enemies","","","",""
"actiondesc_if_enemy","The next spell is skipped if there are less than 15 enemies nearby","The next spell is skipped if there are less than 15 enemies nearby","","","",""
"action_if_projectile","Requirement - Projectile Spells","Requirement - Projectile Spells","","","",""
"actiondesc_if_projectile","The next spell is skipped if there are less than 20 projectiles nearby","The next spell is skipped if there are less than 20 projectiles nearby","","","",""
"action_if_hp","Requirement - Low Health","Requirement - Low Health","","","",""
"actiondesc_if_hp","The next spell is skipped if you have more than 25% health left","The next spell is skipped if you have more than 25% health left","","","",""
"action_if_end","Requirement - Endpoint","Requirement - Endpoint","","","",""
"actiondesc_if_end","Any Requirement spells before this will skip all spells between them and this spell","Any Requirement spells before this will skip all spells between them and this spell","","","",""
"action_if_half","Requirement - Every Other","Requirement - Every Other","","","",""
"actiondesc_if_half","The next spell is skipped every other time this spell is cast","The next spell is skipped every other time this spell is cast","","","",""
"action_if_else","Requirement - Otherwise","Requirement - Otherwise","","","",""
"actiondesc_if_else","If a Requirement spell before this succeeds, the next spell is skipped","If a Requirement spell before this succeeds, the next spell is skipped","","","",""
"action_bloodlust","Bloodlust","Bloodlust","","","",""
"actiondesc_bloodlust","A projectile gains a hefty damage boost, but is also able to hurt you","A projectile gains a hefty damage boost, but is also able to hurt you","","","",""
"action_colour_red","Red Glimmer","Red Glimmer","","","",""
